,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022,statewide_1998_mean,statewide_2019_mean,statewide_2022_mean,perc_natl_1998,perc_natl_2019,perc_natl_2022,delta_natl_1998,delta_natl_2019,delta_natl_2022
863,10002146,GA,STATE,7.112500071525572,-1.887499928474428,14.9499998092651,7.25,7.0,17.26666666666667,8.025,7.758333333333333,-0.1909929772233144,-0.11529411764705888,-0.10980594956658778,2.820407972530404,0.5280612244897958,0.09387755102040707
864,10002147,GA,STATE,7.725000023841857,-1.274999976158143,16.8999996185303,7.80000019073486,7.80000019073486,17.26666666666667,8.025,7.758333333333333,-0.030229133269424033,-0.033472457393523766,0.006033321550457495,4.770407781795603,1.0780614152246555,0.8938777417552668
865,10002152,FL,STATE,6.8125,-2.1875,12.7999997138977,6.79999995231628,6.45000004768372,12.841666666666667,7.208333333333333,7.408333333333334,-0.0034351487939419272,-0.06074637015509863,-0.13876575353673484,0.6704078771630044,0.0780611768060755,-0.45612240129587267
866,10002153,FL,STATE,6.850000023841858,-2.149999976158142,12.8999996185303,6.90000009536743,6.5,12.841666666666667,7.208333333333333,7.408333333333334,0.004809143840023608,-0.04586968853230893,-0.13152580772261632,0.7704077817956048,0.17806131985722562,-0.40612244897959293
867,10002174,FL,STATE,6.875,-2.125,11.8000001907349,6.64999985694885,6.85000014305115,12.841666666666667,7.208333333333333,7.408333333333334,-0.08587811444545561,-0.08306137485492121,-0.0808461179782122,-0.32959164599979474,-0.07193891856135437,-0.056122305928442806
868,10002175,FL,STATE,6.899999976158142,-2.100000023841858,12.0,6.69999980926514,6.90000009536743,12.841666666666667,7.208333333333333,7.408333333333334,-0.06938952917753288,-0.07562305177788674,-0.07360617216409368,-0.12959183673469532,-0.021938966245063973,-0.006122353612163067
869,10002176,FL,STATE,6.550000071525573,-2.449999928474427,11.0333334604899,6.30000019073486,6.46666669845581,12.841666666666667,7.208333333333333,7.408333333333334,-0.149084423492322,-0.13512963639415618,-0.13635243826536256,-1.096258376244796,-0.4219385847753445,-0.4394557505237833
870,10002177,FL,STATE,6.5,-2.5,11.0666669209798,6.26666673024495,6.43333339691162,12.841666666666667,7.208333333333333,7.408333333333334,-0.14633631284370563,-0.14008854209132685,-0.14117906880810868,-1.0629249157548948,-0.45527204526525455,-0.4727890520679727
871,10002178,FL,STATE,7.749999880790713,-1.2500001192092869,13.1000003814697,7.59999990463257,7.69999980926514,12.841666666666667,7.208333333333333,7.408333333333334,0.021297807731721415,0.05826690548360567,0.04223302990738327,0.9704085447350046,0.8780611291223659,0.7938773602855473
872,10002187,FL,STATE,6.575000047683715,-2.424999952316285,10.5,6.30000019073486,6.5,12.841666666666667,7.208333333333333,7.408333333333334,-0.19305403662264098,-0.13512963639415618,-0.13152580772261632,-1.6295918367346953,-0.4219385847753445,-0.40612244897959293
873,10002206,CO,FEDERAL,7.59166657924652,-1.40833342075348,7.36666679382324,7.16666650772095,6.76666673024495,6.583333333333333,5.816666666666666,5.6000000000000005,0.06458036437117096,0.2008348909651913,0.16893223930851803,-4.762925042911455,0.4447277322107457,-0.13945571873464324
874,10002221,CO,STATE,5.799999952316285,-3.200000047683715,6.0,5.19999980926514,5.5,6.583333333333333,5.816666666666666,5.6000000000000005,-0.048091752895319785,-0.09173943381457239,-0.01447990543735232,-6.129591836734695,-1.521938966245064,-1.406122448979593
875,10002222,CO,NOT AVAILABLE,5.425000071525572,-3.574999928474428,5.80000019073486,4.80000019073486,5.0,6.583333333333333,5.816666666666666,5.6000000000000005,-0.06458033816324588,-0.15124601843084182,-0.08687943262411355,-6.329591645999836,-1.9219385847753445,-1.906122448979593
