,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022
322,10000662,IL,STATE,8.787500023841858,-0.2124999761581421,16.25,8.80000019073486,8.55000019073486
323,10000664,IL,STATE,7.625,-1.375,14.974999666214,7.42500007152557,7.27499997615814
324,10000665,IL,STATE,7.8083333174387635,-1.1916666825612365,15.233333269755,7.53333330154419,7.53333346048991
325,10000667,IL,STATE,8.649999856948853,-0.35000014305114746,14.8000001907349,8.19999980926514,8.60000038146973
326,10000669,IL,STATE,9.099999904632565,0.0999999046325648,17.0,8.89999961853027,8.80000019073486
327,10000671,IL,STATE,8.175000190734863,-0.8249998092651367,15.1000003814697,8.0,8.10000038146973
328,10000672,IL,STATE,8.262500107288357,-0.737499892711643,14.8499999046326,7.95000028610229,8.04999995231628
329,10000673,IL,STATE,7.649999976158139,-1.3500000238418606,15.6000003814697,7.5,7.30000019073486
330,10000674,IL,STATE,8.300000190734865,-0.6999998092651349,16.1000003814697,8.10000038146973,8.0
331,10000676,IL,STATE,7.849999904632567,-1.1500000953674334,14.8999996185303,7.80000019073486,7.59999990463257
332,10000677,IL,STATE,8.150000095367433,-0.8499999046325666,16.2000007629395,8.00000023841858,7.95000004768372
333,10000678,IL,STATE,8.474999964237215,-0.5250000357627851,15.8500003814697,8.34999990463257,8.34999990463257
334,10000679,IL,FEDERAL,8.537500023841858,-0.4624999761581421,16.1000003814697,8.5,8.30000019073486
335,10000680,IL,FEDERAL,8.525000095367432,-0.47499990463256836,15.9499998092651,8.5,8.30000019073486
336,10000682,IL,STATE,8.362500071525572,-0.637499928474428,16.1500005722046,8.09999990463257,8.20000028610229
337,10000683,IL,STATE,8.287500023841858,-0.7124999761581421,17.3999996185303,8.25,8.10000038146973
338,10000685,IL,STATE,9.149999976158142,0.1499999761581421,17.8000001907349,8.94999980926514,8.95000028610229
339,10000687,IL,STATE,7.724999964237212,-1.2750000357627878,15.6500000953674,7.59999990463257,7.54999995231628
340,10000688,IL,STATE,8.050000190734863,-0.9499998092651367,16.3999996185303,7.90000009536743,7.80000019073486
341,10000689,IL,STATE,8.175000071525572,-0.824999928474428,16.2999992370605,7.90000009536743,8.0
342,10000694,IL,FEDERAL,6.649999976158142,-2.350000023841858,14.6999998092651,6.5,6.40000009536743
343,10000695,IL,STATE,7.012500047683715,-1.987499952316285,14.6500000953674,6.75,6.80000019073486
344,10000696,IL,STATE,6.9375,-2.0625,14.6000003814697,6.75,6.70000004768372
345,10000699,DE,STATE,8.175000011920927,-0.8249999880790728,15.6999998092651,8.15000009536743,7.95000028610229
346,10000701,DE,STATE,8.12500011920929,-0.8749998807907104,15.6999998092651,8.10000038146973,7.90000009536743
347,10000704,DE,STATE,6.5,-2.5,15.3999996185303,6.5,6.09999990463257
348,10000706,DE,STATE,6.225000023841858,-2.774999976158142,15.3999996185303,6.40000009536743,5.90000009536743
349,10000707,DE,STATE,6.17500001192093,-2.82499998807907,15.4499998092651,6.35000002384186,5.87500011920929
350,10000709,PA,STATE,6.337499976158142,-2.662500023841858,12.5499997138977,6.25,6.09999990463257
351,10000712,PA,FEDERAL,6.537500023841858,-2.462499976158142,12.3499999046326,6.25,6.5
352,10000713,PA,FEDERAL,6.475000023841858,-2.524999976158142,12.3000001907349,6.19999980926514,6.40000009536743
353,10000718,PA,STATE,6.512499988079069,-2.4875000119209307,13.3499999046326,6.30000019073486,6.45000004768372
354,10000719,PA,STATE,7.049999912579855,-1.950000087420145,13.8999999364217,6.76666673024495,7.06666660308838
355,10000720,PA,FEDERAL,7.216666658719383,-1.783333341280617,15.0666669209798,7.03333330154419,7.09999990463257
356,10000721,PA,STATE,7.087500035762788,-1.9124999642372122,15.1500000953674,7.09999990463257,6.95000004768372
357,10000728,PA,STATE,7.69166664282481,-1.30833335717519,15.3666664759318,7.69999996821086,7.69999996821086
358,10000733,PA,STATE,8.5583332379659,-0.4416667620340995,16.4666665395101,8.5,8.39999961853027
359,10000737,PA,STATE,7.32499998807907,-1.6750000119209298,15.0,7.25,7.25
360,10000744,NY,STATE,5.43333339691162,-3.56666660308838,10.8000001907349,4.80000019073486,5.30000019073486
361,10000745,NY,STATE,5.924999952316284,-3.075000047683716,11.6000003814697,5.59999990463257,5.59999990463257
362,10000750,NY,STATE,5.625,-3.375,11.3000001907349,5.30000019073486,5.5
363,10000751,NY,STATE,5.625,-3.375,11.1999998092651,5.30000019073486,5.5
364,10000754,NY,STATE,5.906249970197678,-3.0937500298023224,11.6499998569489,5.64999985694885,5.62499988079071
365,10000756,NY,STATE,6.375,-2.625,12.1999998092651,6.0,6.19999980926514
366,10000757,NY,STATE,6.25,-2.75,12.1999998092651,5.90000009536743,6.0
367,10000759,NY,STATE,6.633333325386047,-2.3666666746139526,12.3000001907349,6.36666679382324,6.40000009536743
368,10000760,NY,STATE,6.625,-2.375,12.3000001907349,6.40000009536743,6.40000009536743
369,10000761,NY,STATE,6.200000047683715,-2.799999952316285,12.0,5.90000009536743,6.09999990463257
370,10000763,NY,STATE,6.049999952316285,-2.950000047683715,12.1000003814697,5.69999980926514,6.0
